2017-09-07 17:59:27.479 [main] INFO  c.a.d.common.logger.LoggerFactory.info(42) - using logger: com.alibaba.dubbo.common.logger.slf4j.Slf4jLoggerAdapter
2017-09-07 17:59:27.638 [main] INFO  c.a.dubbo.config.AbstractConfig.info(42) -  [DUBBO] Export dubbo service com.soa.user.facade.UserFacade to local registry, dubbo version: 2.5.3, current host: 127.0.0.1
2017-09-07 17:59:27.639 [main] INFO  c.a.dubbo.config.AbstractConfig.info(42) -  [DUBBO] Export dubbo service com.soa.user.facade.UserFacade to url dubbo://192.168.2.116:20881/com.soa.user.facade.UserFacade?anyhost=true&application=soa-user&dubbo=2.5.3&interface=com.soa.user.facade.UserFacade&logger=slf4j&methods=login&pid=8320&side=provider&timestamp=1504778367504, dubbo version: 2.5.3, current host: 127.0.0.1
2017-09-07 17:59:27.639 [main] INFO  c.a.dubbo.config.AbstractConfig.info(42) -  [DUBBO] Register dubbo service com.soa.user.facade.UserFacade url dubbo://192.168.2.116:20881/com.soa.user.facade.UserFacade?anyhost=true&application=soa-user&dubbo=2.5.3&interface=com.soa.user.facade.UserFacade&logger=slf4j&methods=login&pid=8320&side=provider&timestamp=1504778367504 to registry registry://192.168.48.117:2181/com.alibaba.dubbo.registry.RegistryService?application=soa-user&backup=192.168.48.120:2181,192.168.48.123:2181&dubbo=2.5.3&logger=slf4j&pid=8320&registry=zookeeper&timestamp=1504778367490, dubbo version: 2.5.3, current host: 127.0.0.1
2017-09-07 17:59:28.196 [main] INFO  c.a.d.r.transport.AbstractServer.info(42) -  [DUBBO] Start NettyServer bind /0.0.0.0:20881, export /192.168.2.116:20881, dubbo version: 2.5.3, current host: 127.0.0.1
2017-09-07 19:53:58.728 [main] INFO  c.a.d.common.logger.LoggerFactory.info(42) - using logger: com.alibaba.dubbo.common.logger.slf4j.Slf4jLoggerAdapter
2017-09-07 19:53:58.880 [main] INFO  c.a.dubbo.config.AbstractConfig.info(42) -  [DUBBO] Export dubbo service com.soa.user.facade.UserFacade to local registry, dubbo version: 2.5.3, current host: 127.0.0.1
2017-09-07 19:53:58.880 [main] INFO  c.a.dubbo.config.AbstractConfig.info(42) -  [DUBBO] Export dubbo service com.soa.user.facade.UserFacade to url dubbo://192.168.2.116:20881/com.soa.user.facade.UserFacade?anyhost=true&application=soa-user&dubbo=2.5.3&interface=com.soa.user.facade.UserFacade&logger=slf4j&methods=login&pid=6912&side=provider&timestamp=1504785238752, dubbo version: 2.5.3, current host: 127.0.0.1
2017-09-07 19:53:58.881 [main] INFO  c.a.dubbo.config.AbstractConfig.info(42) -  [DUBBO] Register dubbo service com.soa.user.facade.UserFacade url dubbo://192.168.2.116:20881/com.soa.user.facade.UserFacade?anyhost=true&application=soa-user&dubbo=2.5.3&interface=com.soa.user.facade.UserFacade&logger=slf4j&methods=login&pid=6912&side=provider&timestamp=1504785238752 to registry registry://60.205.181.33:2181/com.alibaba.dubbo.registry.RegistryService?application=soa-user&backup=60.205.181.33:2182,60.205.181.33:2183&dubbo=2.5.3&logger=slf4j&pid=6912&registry=zookeeper&timestamp=1504785238738, dubbo version: 2.5.3, current host: 127.0.0.1
2017-09-07 19:53:59.462 [main] INFO  c.a.d.r.transport.AbstractServer.info(42) -  [DUBBO] Start NettyServer bind /0.0.0.0:20881, export /192.168.2.116:20881, dubbo version: 2.5.3, current host: 127.0.0.1
2017-09-07 19:53:59.496 [main] INFO  c.a.d.r.zookeeper.ZookeeperRegistry.info(42) -  [DUBBO] Load registry store file C:\Users\Administrator\.dubbo\dubbo-registry-60.205.181.33.cache, data: {com.alibaba.dubbo.demo.DemoService=empty://192.168.2.116/com.alibaba.dubbo.demo.DemoService?application=demo-consumer&category=configurators&check=false&dubbo=2.0.0&interface=com.alibaba.dubbo.demo.DemoService&methods=sayHello&pid=9724&side=consumer&timestamp=1504766865643 empty://192.168.2.116/com.alibaba.dubbo.demo.DemoService?application=demo-consumer&category=routers&check=false&dubbo=2.0.0&interface=com.alibaba.dubbo.demo.DemoService&methods=sayHello&pid=9724&side=consumer&timestamp=1504766865643 dubbo://192.168.2.116:20880/com.alibaba.dubbo.demo.DemoService?anyhost=true&application=demo-provider&dubbo=2.0.0&generic=false&interface=com.alibaba.dubbo.demo.DemoService&methods=sayHello&pid=4112&side=provider&timestamp=1504766735639}, dubbo version: 2.5.3, current host: 127.0.0.1
